StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,Q262,Q264,Q272_First Click,Q272_Last Click,Q272_Page Submit,Q272_Click Count,Q265,Q266,Q273_First Click,Q273_Last Click,Q273_Page Submit,Q273_Click Count,Q251,Q252,Q253,Q254,Q271,Q134,Q196_1,Q106,Q108,Q108_2_TEXT,Q268,Q268_2_TEXT,Q121,Q359,Q358,Q250,UserAgent,ResponseID
3/12/2022 9:18,3/12/2022 9:21,0,100,219,1,3/12/2022 9:21,R_oYxta2nvdSmnkHv,,,,,anonymous,EN,,,,,,,oijoijoij,oijoijojoijoijoij,30.818,36.27,150.856,2,6,4,5,5,1,6,5,12,1,,1,,15,3,3,4,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0,R_oYxta2nvdSmnkHv
4/12/2022 2:45,4/12/2022 2:48,0,100,207,1,4/12/2022 2:48,R_2YDuQReBLiH2YXM,,,,,anonymous,EN,They are free to buy things they need without worrying about the cost.  They can afford to buy something expensive they want every once in awhile without worrying.,They are stressed about money and have to worry about paying for things they need.,16.759,58.256,76.401,3,,,,,,,6,5,5,2,1,2,7,21,1,,1,,17,5,3,2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56",R_2YDuQReBLiH2YXM
4/12/2022 2:45,4/12/2022 2:51,0,100,327,1,4/12/2022 2:51,R_22y1yTwCULm1EHB,,,,,anonymous,EN,"A friend of mine makes 100k a year, can afford ubers, food, drinks without looking at bank and not worrying about being declined. But they may have money but seem the most unhappy.","Someone I know works a low income job/dead end job. constantly working to make sure they have a place to live, eat and drink, working too much to accomplish nothing but surviving, the only difference is this person appreciates the meals and place to live more than the other person.",25.301,168.227,168.465,3,,,,,,,5,4,5,3,2,3,6,27,1,,1,,5,1,3,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_22y1yTwCULm1EHB
4/12/2022 2:45,4/12/2022 2:57,0,100,692,1,4/12/2022 2:57,R_0xmgQqcK84zV6iB,,,,,anonymous,EN,,,,,,,He can shoot basketball well. His height gives him the advantage over shorter players. This gives him more opportunities in his basketball career.,He can shoot basketball well. His height gives him a disadvantage to taller players. This reduces his opportunities in his basketball career.,62.064,333.815,419.372,13,7,7,5,2,1,2,4,37,1,,1,,11,3,3,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_0xmgQqcK84zV6iB
4/12/2022 2:51,4/12/2022 2:57,0,100,377,1,4/12/2022 2:57,R_2rJvGN0PmfIMl0A,,,,,anonymous,EN,,,,,,,They often have a hard time finding clothes that fit them comfortably or that they find shows their physicality in a good light. They also sometimes cannot fit into certain spaces e.g. small cars or tiny homes or rooms. Their height also interacts with their gender and race to make them appear more threatening during in-person interactions than they actually are in real life. ,They sometimes have trouble reaching items on shelves in stores while shopping. They can often find less expensive clothing and shoes because they can shop in the children's section. They are sometime mistaken for a child and infantilized as a result. ,18.886,157.565,246.319,2,7,6,6,2,1,2,7,31,1,,1,,39,3,6,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_2rJvGN0PmfIMl0A
4/12/2022 2:55,4/12/2022 2:59,0,100,255,1,4/12/2022 2:59,R_3ijOr1Qa1qrHksT,,,,,anonymous,EN,They live in a beautiful home on the water with a dock with access to the gulf of mexico and a boat that can travel across the caribbean. They can take this boat out almost whenever they want and frequently travel around the world. They have virtually no limits to the life they want to live or the things they want to do.,She lives in a small aging home and does not have any resources to move. she is completely dependent on social security and her family to take care of her. she has barely left the house in 3 years.,1.634,89.918,137.856,4,,,,,,,2,2,3,3,1,5,6,32,1,,1,,10,3,6,5,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:107.0) Gecko/20100101 Firefox/107.0,R_3ijOr1Qa1qrHksT
4/12/2022 2:53,4/12/2022 3:02,0,100,552,1,4/12/2022 3:02,R_1mWyySVYgsj3oBZ,,,,,anonymous,EN,I have a friend that is very obviously rich and has always been financially comfortable. She has the newest clothes and shoes and is always going on foreign trips every couple of months. She has always lived that kind of life so I think it would be hard for her if she had to give it up. What I think she can do is spend less money on the kind of clothes and shoes she buys because at the end of the day nobody can tell you're wearing branded clothes until you tell them or you see the tag. I would say she should give the money away to charity.  ,"I have a friend that comes from a low income background and has always struggled financially. For her, I would say that she can research resources that can help her with grocery and tuition and everything. ",25.371,273.038,407.882,3,,,,,,,6,6,6,1,1,2,7,21,0,,1,,45,5,4,4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36",R_1mWyySVYgsj3oBZ
4/12/2022 2:56,4/12/2022 3:03,0,100,423,1,4/12/2022 3:03,R_3lrcUlZIUKNYfN4,,,,,anonymous,EN,,,,,,,"Of course they can grab things off of shelves that are high, however since they are so tall they can't fit in a normal bed and they have trouble sleeping at hotels.  Also doorways are difficult for them to manage",They have trouble driving  a normal vehicle an getting in and out of a truck is difficult.  In the kitchen they can't reach things that are on the back of the counter.  Also they have trouble getting into and out of a shower when it is a tub shower.,27.263,122.463,206.25,5,3,2,4,5,1,6,7,52,1,,1,,22,4,6,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_3lrcUlZIUKNYfN4
4/12/2022 3:03,4/12/2022 3:06,0,100,178,1,4/12/2022 3:06,R_2uqUOBABhc9ShSm,,,,,anonymous,EN,,,,,,,"they can reach tall things, they have trouble fitting into pants of the right length","they cant reach tall things, they must move car drivers seat to reach pedals, they have trouble finding clothes not too long",4.672,55.378,87.367,3,6,6,6,3,1,2,7,19,0,,1,,15,6,2,3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_2uqUOBABhc9ShSm
4/12/2022 3:05,4/12/2022 3:07,0,100,163,1,4/12/2022 3:07,R_8oDVHBADtntJdsZ,,,,,anonymous,EN,they cannot make public statements unless they work in that industry ,they can't make public statements either. they do not work in that field. ,6.902,55.911,65.137,3,,,,,,,6,5,2,6,1,4,8,21,0,,1,,5,4,2,3,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36",R_8oDVHBADtntJdsZ
